trial,time,logN,temp,exp_no
80.1,0,6.36,80,1
80.1,0.00556,4.52,80,1
80.1,0.0111,3.18,80,1
80.1,0.0167,2.26,80,1
80.2,0,6.36,80,1
80.2,0.00556,4.52,80,1
80.2,0.0111,3.18,80,1
80.2,0.0167,2.26,80,1
80.3,0,6.86,80,1
80.3,0.00556,2.71,80,1
80.4,0,6.76,80,1
80.4,0.00556,3.48,80,1
78.1,0,6.8,78,2
78.1,0.00556,3.19,78,2
78.1,0.0111,1.9,78,2
78.2,0,6.63,78,2
78.2,0.00556,4.45,78,2
78.2,0.0111,3.58,78,2
78.2,0.0167,2.61,78,2
78.3,0,6.52,78,2
78.3,0.00556,4.98,78,2
78.3,0.0111,3.76,78,2
78.3,0.0167,3.11,78,2
78.3,0.0222,1.78,78,2
78.3,0.0278,1.6,78,2
78.4,0,6.52,78,2
78.4,0.00556,5.11,78,2
78.4,0.0111,4.04,78,2
78.4,0.0167,3.38,78,2
78.4,0.0222,2.6,78,2
78.4,0.0278,2,78,2
78.4,0.0333,1.78,78,2
76.1,0,6.52,76,3
76.1,0.00556,4.3,76,3
76.1,0.0111,4.26,76,3
76.1,0.0167,3.9,76,3
76.1,0.0222,3.18,76,3
76.1,0.0278,2.9,76,3
76.1,0.0333,2.15,76,3
76.1,0.0389,1.6,76,3
76.2,0,6.36,76,3
76.2,0.00556,5.81,76,3
76.2,0.0111,4.68,76,3
76.2,0.0167,3.8,76,3
76.2,0.0222,3.36,76,3
76.2,0.0278,2.68,76,3
76.2,0.0333,2.38,76,3
76.3,0,6.6,76,3
76.3,0.00556,5.6,76,3
76.3,0.0111,4.78,76,3
76.3,0.0167,3.98,76,3
76.3,0.0222,3.3,76,3
76.3,0.0278,3.03,76,3
76.3,0.0333,2.3,76,3
76.3,0.0389,1.9,76,3
74.1,0,6.54,74,4
74.1,0.00556,6.11,74,4
74.1,0.0111,5.4,74,4
74.1,0.0167,4.85,74,4
74.1,0.0222,4.26,74,4
74.1,0.0278,3.72,74,4
74.1,0.0333,3.68,74,4
74.1,0.0389,3.45,74,4
74.1,0.0444,2.58,74,4
74.1,0.05,1.6,74,4
74.2,0,6.52,74,4
74.2,0.00556,5.81,74,4
74.2,0.0111,5.18,74,4
74.2,0.0167,4.68,74,4
74.2,0.0222,3.99,74,4
74.2,0.0278,3.74,74,4
74.2,0.0333,3.58,74,4
74.2,0.0389,2.68,74,4
74.2,0.0444,1.9,74,4
74.3,0,6.26,74,4
74.3,0.00556,6.18,74,4
74.3,0.0111,5.48,74,4
74.3,0.0167,4.88,74,4
74.3,0.0222,4.7,74,4
74.3,0.0278,4.26,74,4
74.3,0.0333,4.15,74,4
74.3,0.0389,3.4,74,4
74.3,0.0444,2.57,74,4
74.3,0.05,2.15,74,4
72.1,0,6.72,72,5
72.1,0.00833,5.89,72,5
72.1,0.0167,4.9,72,5
72.1,0.025,4.11,72,5
72.1,0.0333,3.65,72,5
72.1,0.0417,3.1,72,5
72.1,0.05,2.99,72,5
72.1,0.0583,2.6,72,5
72.1,0.0667,1.78,72,5
72.1,0.075,1.9,72,5
72.2,0,6.86,72,5
72.2,0.00833,5.95,72,5
72.2,0.0167,5.58,72,5
72.2,0.025,4.92,72,5
72.2,0.0333,4.48,72,5
72.2,0.0417,4.18,72,5
72.2,0.05,3.86,72,5
72.2,0.0583,3.56,72,5
72.2,0.0667,3.15,72,5
72.2,0.075,2.34,72,5
72.3,0,6.76,72,5
72.3,0.00833,5.89,72,5
72.3,0.0167,5.52,72,5
72.3,0.025,4.74,72,5
72.3,0.0333,3.95,72,5
72.3,0.0417,3.2,72,5
72.3,0.05,2.95,72,5
72.3,0.0583,2.9,72,5
72.3,0.0667,2.3,72,5
72.3,0.075,2.78,72,5
72.4,0,6.76,72,5
72.4,0.00833,5.3,72,5
72.4,0.0167,4.63,72,5
72.4,0.025,3.8,72,5
72.4,0.0333,2.9,72,5
72.4,0.0417,2.66,72,5
72.4,0.05,2.08,72,5
72.4,0.0583,1.9,72,5
72.4,0.0667,1.6,72,5
72.4,0.075,1.6,72,5
70.1,0,6.54,70,6
70.1,0.0167,5.94,70,6
70.1,0.0333,5.45,70,6
70.1,0.05,4.45,70,6
70.1,0.0667,4.4,70,6
