time;logN;trial
0;6.74;1
0.12;5.9;1
0.23;5.3;1
0.35;4.83;1
0.47;4.54;1
0.58;3.92;1
0.7;3.1;1
0.82;2.99;1
0.93;2.73;1
1.05;2.45;1
0;7.13;2
0.12;6.18;2
0.23;4.88;2
0.35;4.7;2
0.47;4.7;2
0.58;2.72;2
0.7;2.56;2
0.82;1.78;2
0.93;1.3;2
1.05;1.3;2
0;7.3;3
0.12;6.1;3
0.23;5.63;3
0.35;4.48;3
0.47;4.24;3
0.58;3.6;3
0.7;3.3;3
0.82;3.24;3
0.93;3.06;3
1.05;3.05;3
0;7.21;4
0.12;6.4;4
0.23;6;4
0.35;4.88;4
0.47;3.88;4
0.58;3.18;4
0.7;3;4
0.82;3;4
0.93;2.53;4
1.05;2.3;4
0;7.26;5
0.12;6.1;5
0.23;5.18;5
0.35;4.51;5
0.47;3.89;5
0.58;3.72;5
0.7;3.18;5
0.82;3.04;5
0.93;2.66;5
1.05;2.48;5
0;7.03;6
0.12;6.3;6
0.23;4.72;6
0.35;4.3;6
0.47;3.7;6
0.58;3.24;6
0.7;2.7;6
0.82;2.68;6
0.93;2.6;6
1.05;2.48;6
0;7.21;7
0.12;6.24;7
0.23;5.7;7
0.35;4.88;7
0.47;4.1;7
0.58;3.48;7
0.7;3.18;7
0.82;2.78;7
0.93;2.53;7
1.05;2.48;7
0;5.3;8
0.12;5.74;8
0.23;5.1;8
0.35;4.7;8
0.47;4.35;8
0.58;2.88;8
0.7;3.35;8
0.82;2.26;8
0.93;2.26;8
1.05;2.38;8
0;7.39;9
0.12;4.88;9
0.23;4.54;9
0.35;4.01;9
0.47;3.48;9
0.58;3.3;9
0.7;3;9
0.82;2.88;9
0.93;2.68;9
1.05;2.68;9
0;6.8;10
0.12;4.78;10
0.23;4.18;10
0.35;3.1;10
0.47;3.1;10
0.58;3;10
0.7;2.9;10
0.82;2.88;10
0.93;2.64;10
1.05;2.58;10
0;6.35;11
0.12;5.51;11
0.23;5.4;11
0.35;4.54;11
0.47;4.1;11
0.58;3.18;11
0.7;2.83;11
0.82;2.9;11
0.93;2.89;11
1.05;1.7;11
0;6.93;12
0.12;5.88;12
0.23;5.24;12
0.35;4.1;12
0.47;3.57;12
0.58;3.44;12
0.7;3.24;12
0.82;3.02;12
0.93;2.87;12
1.05;2.56;12
0;6.72;13
0.12;4.6;13
0.23;4.18;13
0.35;3.88;13
0.47;3.88;13
0.58;3.18;13
0.7;3.05;13
0.82;2.92;13
0.93;2.89;13
1.05;1.78;13
0;6.88;14
0.12;4.88;14
0.23;4.88;14
0.35;4.57;14
0.47;3.81;14
0.58;3.24;14
0.7;2.7;14
0.82;2.08;14
0.93;1.78;14
1.05;1.3;14
0;6.51;15
0.12;4.63;15
0.23;3.7;15
0.35;3.48;15
0.47;3.44;15
0.58;3.1;15
0.7;2.7;15
0.82;2.34;15
0.93;2;15
1.05;1.78;15
0;7.31;16
0.12;6.63;16
0.23;6.18;16
0.35;5.54;16
0.47;4.68;16
0.58;3.93;16
0.7;3.54;16
0.82;3.18;16
0.93;3.06;16
1.05;2.83;16
0;7.23;17
0.12;6.35;17
0.23;5.7;17
0.35;4.88;17
0.47;4.88;17
0.58;4.44;17
0.7;3.4;17
0.82;3.24;17
0.93;2.41;17
1.05;2;17
0;7.11;18
0.12;6.51;18
0.23;6.1;18
0.35;5.4;18
0.47;4.88;18
0.58;4;18
0.7;3.44;18
0.82;2.87;18
0.93;2.7;18
1.05;2.51;18
